time,n_infected,prop_ever_infected,prop_currently_infected,n_recovered,prop_recovered,b_cxn_peers,b_cxn_total,b_cxn_symp,iter
55.0,6.0,0.02280130293159609,0.009771986970684038,8.0,0.5714285714285714,-0.5,-5.0,-1.5,1
56.0,6.0,0.02280130293159609,0.009771986970684038,8.0,0.5714285714285714,-0.5,-5.0,-1.5,1
57.0,6.0,0.02280130293159609,0.009771986970684038,8.0,0.5714285714285714,-0.5,-5.0,-1.5,1
58.0,6.0,0.02280130293159609,0.009771986970684038,8.0,0.5714285714285714,-0.5,-5.0,-1.5,1
59.0,5.0,0.024429967426710098,0.008143322475570033,10.0,0.6666666666666666,-0.5,-5.0,-1.5,1
60.0,5.0,0.024429967426710098,0.008143322475570033,10.0,0.6666666666666666,-0.5,-5.0,-1.5,1
61.0,5.0,0.024429967426710098,0.008143322475570033,10.0,0.6666666666666666,-0.5,-5.0,-1.5,1
62.0,6.0,0.026058631921824105,0.009771986970684038,10.0,0.625,-0.5,-5.0,-1.5,1
63.0,5.0,0.026058631921824105,0.008143322475570033,11.0,0.6875,-0.5,-5.0,-1.5,1
64.0,6.0,0.02768729641693811,0.009771986970684038,11.0,0.6470588235294118,-0.5,-5.0,-1.5,1
65.0,6.0,0.02768729641693811,0.009771986970684038,11.0,0.6470588235294118,-0.5,-5.0,-1.5,1
66.0,6.0,0.02768729641693811,0.009771986970684038,11.0,0.6470588235294118,-0.5,-5.0,-1.5,1
67.0,8.0,0.030944625407166124,0.013029315960912053,11.0,0.5789473684210527,-0.5,-5.0,-1.5,1
68.0,6.0,0.030944625407166124,0.009771986970684038,13.0,0.6842105263157895,-0.5,-5.0,-1.5,1
69.0,5.0,0.030944625407166124,0.008143322475570033,14.0,0.7368421052631579,-0.5,-5.0,-1.5,1
70.0,5.0,0.030944625407166124,0.008143322475570033,14.0,0.7368421052631579,-0.5,-5.0,-1.5,1
71.0,5.0,0.030944625407166124,0.008143322475570033,14.0,0.7368421052631579,-0.5,-5.0,-1.5,1
72.0,5.0,0.030944625407166124,0.008143322475570033,14.0,0.7368421052631579,-0.5,-5.0,-1.5,1
73.0,4.0,0.030944625407166124,0.006514657980456026,15.0,0.7894736842105263,-0.5,-5.0,-1.5,1
74.0,4.0,0.030944625407166124,0.006514657980456026,15.0,0.7894736842105263,-0.5,-5.0,-1.5,1
75.0,5.0,0.03257328990228013,0.008143322475570033,15.0,0.75,-0.5,-5.0,-1.5,1
76.0,4.0,0.03257328990228013,0.006514657980456026,16.0,0.8,-0.5,-5.0,-1.5,1
77.0,4.0,0.03257328990228013,0.006514657980456026,16.0,0.8,-0.5,-5.0,-1.5,1
78.0,3.0,0.03257328990228013,0.004885993485342019,17.0,0.85,-0.5,-5.0,-1.5,1
79.0,3.0,0.03257328990228013,0.004885993485342019,17.0,0.85,-0.5,-5.0,-1.5,1
80.0,3.0,0.03257328990228013,0.004885993485342019,17.0,0.85,-0.5,-5.0,-1.5,1
81.0,1.0,0.03257328990228013,0.0016286644951140066,19.0,0.95,-0.5,-5.0,-1.5,1
82.0,1.0,0.03257328990228013,0.0016286644951140066,19.0,0.95,-0.5,-5.0,-1.5,1
83.0,1.0,0.03257328990228013,0.0016286644951140066,19.0,0.95,-0.5,-5.0,-1.5,1
84.0,1.0,0.03257328990228013,0.0016286644951140066,19.0,0.95,-0.5,-5.0,-1.5,1
85.0,1.0,0.03257328990228013,0.0016286644951140066,19.0,0.95,-0.5,-5.0,-1.5,1
86.0,1.0,0.03257328990228013,0.0016286644951140066,19.0,0.95,-0.5,-5.0,-1.5,1
87.0,1.0,0.03257328990228013,0.0016286644951140066,19.0,0.95,-0.5,-5.0,-1.5,1
88.0,1.0,0.03257328990228013,0.0016286644951140066,19.0,0.95,-0.5,-5.0,-1.5,1
89.0,0.0,0.03257328990228013,0.0,20.0,1.0,-0.5,-5.0,-1.5,1
200.0,0.0,0.03257328990228013,0.0,20.0,1.0,-0.5,-5.0,-1.5,1
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.5,-5.0,-1.5,2
1.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-1.5,2
2.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-1.5,2
3.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-1.5,2
4.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-1.5,2
5.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-5.0,-1.5,2
6.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,2
7.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,2
8.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,2
9.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,2
10.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,2
11.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,2
12.0,4.0,0.006514657980456026,0.006514657980456026,0.0,0.0,-0.5,-5.0,-1.5,2
13.0,4.0,0.006514657980456026,0.006514657980456026,0.0,0.0,-0.5,-5.0,-1.5,2
14.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-5.0,-1.5,2
15.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-5.0,-1.5,2
16.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-5.0,-1.5,2
17.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-5.0,-1.5,2
18.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-5.0,-1.5,2
19.0,4.0,0.008143322475570033,0.006514657980456026,1.0,0.2,-0.5,-5.0,-1.5,2
20.0,3.0,0.008143322475570033,0.004885993485342019,2.0,0.4,-0.5,-5.0,-1.5,2
21.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,2
22.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,2
23.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,2
24.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,2
25.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,2
26.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-5.0,-1.5,2
